id,date,age,gender,Performance Expectancy 1,Performance Expectancy 2,Performance Expectancy 3,Effort Expectancy 1,Effort Expectancy 2,Effort Expectancy 3,Social Influence 1,Social Influence 2,Social Influence 3,Facilitating Conditions 1,Facilitating Conditions 2,Facilitating Conditions 3,Attitude towards Technology 1,Attitude towards Technology 2,Attitude towards Technology 3,Self-Efficacy 1,Self-Efficacy 2,Self-Efficacy 3,Anxiety  1,Anxiety 2,Anxiety 3,Behavioral Intention 1,Behavioral Intention 2,Perceived safety 1,Perceived safety 2,Perceived safety 3,Methods of Control 1,Methods of Control 2,Methods of Control 3,Driving licence,weekly drive,driving reason,gaming experience,VR experience,racing experience
801c5441038b4e298b3c91c9f6784986,2020-09-19 09:31:22,30,Männlich,4,4,4,4,4,1,4,4,4,4,4,4,6,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4, Nein,36,Arbeit,99,Oft,Selten
cd59ccc5e16840b78e9b29a1bbafc571,2020-09-19 11:12:47,19,Männlich,5,7,4,5,6,7,5,6,5,5,5,6,4,4,7,5,6,3,1,2,3,7,6,2,6,6,7,7,7,Ja ,15,Privater Transport ,18,Selten,Oft
851861aa8d4748f1a179aa60b482b505,2020-09-19 11:39:13,28,Weiblich,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,7,7,4,1,1,7,1,1,7,7,4,Ja ,3,Arbeit,0,Selten,Manchmal
f0d19dd21d9c4d108419ff0982fb8a00,2020-09-19 11:45:28,30,Weiblich,3,2,3,4,7,7,7,1,1,5,7,4,2,3,4,7,6,1,6,4,1,3,2,5,3,2,7,7,7,Ja ,10,Arbeit,4,Selten,Selten
8c3f910d2ca947e9abe0cf5786c40ed3,2020-09-19 12:13:40,55,Männlich,4,4,5,5,5,7,3,4,5,4,6,5,6,5,6,3,3,2,4,5,3,6,2,5,5,5,7,7,7,Ja ,10,Privater Transport ,4,Selten,Selten
ff4288f304e74bbf93aa6508c7df8145,2020-09-19 12:38:13,13,Weiblich,7,4,3,5,5,6,7,6,7,3,5,6,2,7,6,7,7,7,6,6,6,2,2,6,1,1,7,5,7, Nein,0,zum Vergnügen,25,Noch Nie,Manchmal
a3bf7bf25cb54d37b0876393df38aa5f,2020-09-19 12:43:45,13,Weiblich,3,4,3,4,4,3,3,3,3,3,4,4,3,4,3,4,4,4,5,6,4,3,3,6,3,3,5,5,4, Nein,0,zum Vergnügen,5,Selten,Selten
22a1a4a35db9490d8dd8d69621690029,2020-09-19 13:06:04,13,Männlich,5,5,3,7,5,5,7,1,5,6,3,5,3,5,6,6,5,3,1,6,6,7,3,3,5,3,7,7,7, Nein,0,Privater Transport ,25,Noch Nie,Selten
81b4ef081c7f4f70b90f414b5d0144bf,2020-09-19 13:34:31,41,Männlich,2,5,3,2,3,5,5,5,6,2,3,5,4,6,4,5,6,3,5,5,4,5,5,5,3,2,6,6,6,Ja ,30,zum Vergnügen,4,Noch Nie,Selten
bf6200b3d8964cfb95a76d7156871682,2020-09-19 15:35:01,41,Männlich,1,3,4,5,6,6,7,7,4,3,5,3,2,7,6,4,5,4,7,6,1,4,2,6,2,1,7,7,7,Ja ,2,Privater Transport ,1,Noch Nie,Selten
9ef3688b30eb405c9bc92ff7cc527955,2020-09-19 15:38:13,17,Männlich,5,2,4,2,3,3,4,4,4,2,3,4,4,5,5,3,2,6,3,2,4,2,5,4,5,4,7,7,7, Nein,0,Arbeit,19,Selten,Manchmal
fa2e2604ec6a4820851f032e80f09ba1,2020-09-20 11:44:48,16,Männlich,4,5,5,3,3,5,7,5,5,5,2,5,5,5,5,4,6,4,3,4,3,5,4,2,4,4,6,6,5, Nein,0,Privater Transport ,0,Noch Nie,Selten
b114be91b8144db2b503d0391f4868ef,2020-09-20 12:10:46,25,Weiblich,4,3,3,5,5,6,4,3,4,5,6,5,3,2,5,6,6,5,5,4,2,6,2,4,3,3,7,6,5,Ja ,5,Privater Transport ,16,Oft,Oft
fd19a21a4a8846ca82bd127e4e1933f5,2020-09-20 12:32:33,17,Männlich,1,6,6,6,5,7,4,3,5,5,7,1,5,7,6,3,7,5,4,2,3,6,6,5,6,3,7,7,6, Nein,0,zum Vergnügen,15,Selten,Oft
c141c1065c1b45a9bffe0a89a7032662,2020-09-20 12:50:53,22,Männlich,6,6,6,4,4,5,5,3,4,5,6,5,6,6,6,6,4,5,2,4,3,4,6,3,5,4,4,6,6, Nein,0,Privater Transport ,3,Noch Nie,Selten
