ExperimentalCondition,Head Horizontal,Head Vertical,Eye Horizontal,Eye Vertical,SuccessfulCompletion,Time,Event
BaseCondition,0.9694235622882844,-0.0971436761319637,0.971356064081192,-0.1161905713379382,0.0,-1.00,NoEvent
FullLoopAR,0.9629280865192412,-0.0598674323409795,0.954299509525299,-0.1106124967336654,1.0,-1.00,NoEvent
BaseCondition,0.9790824055671692,-0.1082472875714302,0.956220269203186,-0.1963363885879516,0.0,-1.00,NoEvent
FullLoopAR,0.9660356044769288,-0.1544254273176193,0.9684321880340576,-0.1332171708345413,1.0,-1.00,NoEvent
BaseCondition,0.9923785626888274,-0.0117366258054971,0.9769061505794524,-0.1283772885799407,0.0,-1.00,NoEvent
BaseCondition,0.969975769519806,0.0691201761364936,0.9609551429748536,-0.1157311350107193,0.0,-1.00,NoEvent
FullLoopAR,0.997035264968872,-0.0149101614952087,0.960403859615326,-0.142513170838356,1.0,-1.00,NoEvent
HUDOnly,0.9668979644775392,-0.0463854111731052,0.9264153838157654,-0.0290906131267547,1.0,-1.00,NoEvent
FullLoopAR,0.9927899539470671,0.0173399932682513,0.9698912799358368,-0.1072031185030936,1.0,-1.00,NoEvent
FullLoopAR,0.9523210525512696,-0.1272641420364379,0.9576490819454192,-0.1491315588355063,1.0,-1.00,NoEvent
AudioOnly,0.9936895370483398,-0.05359822884202,0.9745182991027832,-0.1731619387865066,1.0,-1.00,NoEvent
AudioOnly,0.9459452629089355,-0.3013854026794433,0.9706772565841676,-0.1336790472269058,1.0,-1.00,NoEvent
HUDOnly,0.9875319600105286,-0.1119930744171142,0.9499495625495912,-0.0482911951839923,0.0,-1.00,NoEvent
BaseCondition,0.9534585177898408,-0.1971415579319,0.954931378364563,-0.2125171646475791,0.0,-1.00,NoEvent
HUDOnly,0.955733060836792,-0.0446593053638935,0.9679133892059326,-0.0569751933217048,1.0,-1.00,NoEvent
HUDOnly,0.9870147705078124,-0.2706022262573242,0.81920325756073,-0.6363105177879333,1.0,-1.00,NoEvent
BaseCondition,0.9988991618156432,-0.0393182951956986,0.969732403755188,-0.1351848095655441,0.0,-1.00,NoEvent
FullLoopAR,0.9706879556179048,0.0407044477760791,0.9461219906806946,-0.1270764097571372,1.0,-1.00,NoEvent
HUDOnly,0.9790257215499878,-0.0384586825966835,0.97010338306427,-0.1393043845891952,0.0,-1.00,NoEvent
AudioOnly,0.9787611961364746,0.0444940216839313,0.8293498754501343,-0.5170568227767944,0.0,-1.00,NoEvent
BaseCondition,0.9769790172576904,-0.0113784819841384,0.9742606812053256,-0.107628360390663,1.0,-1.00,NoEvent
AudioOnly,0.986288607120514,-0.0738326907157898,0.973600685596466,-0.1098575294017791,0.0,-1.00,NoEvent
FullLoopAR,0.9641531109809875,-0.1804714053869247,0.9564313888549804,-0.157127633690834,1.0,-1.00,NoEvent
BaseCondition,0.9296506643295288,-0.2572870850563049,0.9490863084793092,-0.091478556394577,1.0,-1.00,NoEvent
HUDOnly,0.9760530591011046,-0.0849729217588901,0.9697568714618684,-0.1667120903730392,1.0,-1.00,NoEvent
HUDOnly,0.9695805907249452,0.1474804878234863,0.9608235359191896,-0.1397392749786377,0.0,-1.00,NoEvent
BaseCondition,0.9244200587272644,-0.2201083898544311,0.970985233783722,-0.1465371623635292,0.0,-1.00,NoEvent
HUDOnly,0.9761502146720886,-0.0189014002680778,0.9588649868965148,-0.1603284180164337,0.0,-1.00,NoEvent
AudioOnly,0.986629068851471,-0.0574618279933929,0.96419095993042,-0.1329786032438278,0.0,-1.00,NoEvent
HUDOnly,0.965576171875,-0.0998111069202423,0.9786920547485352,-0.1399598121643066,1.0,-1.00,NoEvent
BaseCondition,0.9800851345062256,-0.0566317029297351,0.9984976053237916,-0.0469185076653957,0.0,-1.00,NoEvent
FullLoopAR,0.9607622623443604,0.259249597787857,0.943009078502655,-0.3079061210155487,0.0,-1.00,NoEvent
