ExperimentalCondition,Head Horizontal,Head Vertical,Eye Horizontal,Eye Vertical,SuccessfulCompletion,Steering,Time,Event
BaseCondition,0.9953874349594116,-0.03257717192173,0.9884019494056702,-0.1462879180908203,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9888010025024414,-0.0181434294208884,0.9828078746795654,-0.1543925032019614,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9920934438705444,-0.0631320849061012,0.9839780926704408,-0.1678963750600814,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9937906265258788,-0.0878243520855903,0.9816874265670776,-0.1418070197105407,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9868018627166748,0.0570173263549804,0.985846221446991,-0.0422092229127883,0.0,0.0,-2.00,NoEvent
BaseCondition,0.9822518229484558,0.162413403391838,0.9755005240440368,-0.0967149958014488,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9803759455680848,0.0869336575269699,0.9879160523414612,-0.1529310047626495,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9977392554283142,-0.0443003326654434,0.9749950766563416,-0.1402463316917419,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9898303151130676,0.0678012669086456,0.9837632775306702,-0.1659175753593444,1.0,0.0,-2.00,NoEvent
FullLoopAR,0.9879907071590424,-0.0685706660151481,0.985652357339859,-0.1338361799716949,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9798821806907654,0.0096009969711303,0.9794040322303772,-0.1700775623321533,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9616010785102844,-0.2370678782463073,0.984419286251068,-0.1625333428382873,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9829686284065248,-0.0491081811487674,0.9854413866996764,-0.1011184677481651,0.0,0.0,-2.00,NoEvent
BaseCondition,0.990025758743286,-0.1273640766739845,0.981103926897049,-0.1848793551325797,0.0,0.0,-2.00,NoEvent
HUDOnly,0.9995622038841248,-0.0270161740481853,0.9692206978797911,-0.1617697179317474,1.0,0.0,-2.00,NoEvent
HUDOnly,0.969630777835846,-0.2050897777080536,0.9726620316505432,-0.2039922326803207,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9755355715751648,-0.0133252432569861,0.9816223978996276,-0.1744128391146659,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.9871191382408142,0.1042650789022445,0.9424641728401184,-0.0559345297515392,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9963321089744568,0.0207897201180458,0.9695851802825928,-0.2442840784788131,0.0,0.0,-2.00,NoEvent
AudioOnly,0.9550881385803224,0.3437355160713196,0.9867587089538574,-0.2119318544864654,0.0,0.0,-2.00,NoEvent
BaseCondition,0.999941110610962,-0.0059950510039925,0.9881644248962402,-0.1486307978630066,1.0,0.0,-2.00,NoEvent
AudioOnly,0.9885801076889038,0.0116684380918741,0.9853017330169678,-0.1220223009586334,0.0,0.0,-2.00,NoEvent
FullLoopAR,0.991967499256134,-0.1200372278690338,0.9640169739723206,-0.204417422413826,1.0,0.0,-2.00,NoEvent
BaseCondition,0.9825060367584229,-0.181591510772705,0.9740589559078217,-0.2036281749606132,1.0,0.0,-2.00,NoEvent
HUDOnly,0.9961490035057068,-0.0251552090048789,0.9862723350524902,-0.1634323894977569,1.0,0.0,-2.00,NoEvent
